episode,ep_return,ep_length,global_step,epsilon
0,16.975088119506836,22,5632,1.0
1,18.160198211669922,23,5888,1.0
2,19.376373291015625,24,6144,1.0
3,18.731584548950195,24,6144,1.0
4,20.101659774780273,25,6400,1.0
5,20.475215911865234,25,6400,1.0
6,20.012784957885742,25,6400,1.0
7,19.778440475463867,25,6400,1.0
8,21.040109634399414,26,6656,1.0
9,21.616531372070312,27,6912,1.0
10,22.10593605041504,27,6912,1.0
11,22.461145401000977,28,7168,1.0
12,23.61777687072754,29,7424,1.0
13,23.57099151611328,29,7424,1.0
14,23.798391342163086,29,7424,1.0
15,23.870586395263672,29,7424,1.0
16,23.689815521240234,29,7424,1.0
17,24.656362533569336,30,7680,1.0
18,26.534645080566406,31,7936,1.0
19,25.50983238220215,31,7936,1.0
20,25.925460815429688,31,7936,1.0
21,25.283851623535156,31,7936,1.0
22,26.505319595336914,32,8192,1.0
23,27.28314781188965,32,8192,1.0
24,26.303102493286133,32,8192,1.0
25,26.547636032104492,32,8192,1.0
26,27.108827590942383,32,8192,1.0
27,27.7244815826416,33,8448,1.0
28,27.683746337890625,33,8448,1.0
29,27.640283584594727,33,8448,1.0
30,27.794294357299805,33,8448,1.0
31,28.267993927001953,34,8704,1.0
32,28.260692596435547,34,8704,1.0
33,29.11052894592285,34,8704,1.0
34,27.95978546142578,34,8704,1.0
35,29.3811092376709,35,8960,1.0
36,29.48651123046875,35,8960,1.0
37,29.74283218383789,35,8960,1.0
38,29.138065338134766,35,8960,1.0
39,30.27774429321289,35,8960,1.0
40,29.550701141357422,35,8960,1.0
41,29.292896270751953,35,8960,1.0
42,30.86906623840332,36,9216,1.0
43,30.16588592529297,36,9216,1.0
44,30.554527282714844,36,9216,1.0
45,30.42588996887207,36,9216,1.0
46,30.22661018371582,36,9216,1.0
47,29.997270584106445,36,9216,1.0
48,31.11424446105957,36,9216,1.0
49,31.893657684326172,37,9472,1.0
50,31.909927368164062,37,9472,1.0
51,31.993995666503906,37,9472,1.0
52,31.414297103881836,37,9472,1.0
53,31.33710479736328,37,9472,1.0
54,31.20359992980957,37,9472,1.0
55,32.34535598754883,38,9728,1.0
56,34.225467681884766,39,9984,1.0
57,33.48524475097656,39,9984,1.0
58,33.170005798339844,39,9984,1.0
59,33.54119110107422,39,9984,1.0
60,34.09026336669922,39,9984,1.0
61,32.768009185791016,39,9984,1.0
62,33.753501892089844,39,9984,1.0
63,33.12454605102539,39,9984,1.0
64,33.03476333618164,39,9984,1.0
65,33.51868438720703,39,9984,1.0
66,34.7769775390625,40,10240,1.0
67,34.820064544677734,40,10240,1.0
68,34.43535614013672,40,10240,1.0
69,36.183353424072266,41,10496,1.0
70,35.403812408447266,41,10496,1.0
71,35.00453186035156,41,10496,1.0
72,35.2708625793457,41,10496,1.0
73,34.50347900390625,41,10496,1.0
74,35.8770866394043,41,10496,1.0
75,35.582725524902344,41,10496,1.0
76,36.37063217163086,42,10752,1.0
77,36.258941650390625,42,10752,1.0
78,35.93289566040039,42,10752,1.0
79,36.616458892822266,42,10752,1.0
80,36.18484878540039,42,10752,1.0
81,37.164241790771484,42,10752,1.0
82,37.70109939575195,43,11008,1.0
83,37.619503021240234,43,11008,1.0
84,37.03286361694336,43,11008,1.0
85,38.09978103637695,43,11008,1.0
86,37.89939498901367,43,11008,1.0
87,36.651222229003906,43,11008,1.0
88,37.747196197509766,43,11008,1.0
89,37.54603576660156,43,11008,1.0
90,37.62030792236328,43,11008,1.0
91,37.619834899902344,43,11008,1.0
92,37.75838851928711,43,11008,1.0
93,38.222686767578125,44,11264,1.0
94,38.79637908935547,44,11264,1.0
95,39.49000930786133,45,11520,1.0
96,40.15632247924805,45,11520,1.0
97,39.88044357299805,45,11520,1.0
98,39.4012565612793,45,11520,1.0
99,39.55694580078125,45,11520,1.0
100,39.340213775634766,45,11520,1.0
101,39.41160583496094,45,11520,1.0
102,38.64643096923828,45,11520,1.0
103,38.56120681762695,45,11520,1.0
104,39.57506561279297,45,11520,1.0
105,40.694549560546875,46,11776,1.0
106,40.485626220703125,46,11776,1.0
107,40.6645622253418,46,11776,1.0
108,40.85939025878906,46,11776,1.0
