episode,step,ep_length,cart_pos,pole_angle,cart_vel,pole_vel,cart_pos_dis,pole_angle_dis,cart_vel_dis,pole_vel_dis,action_idx,action_val,reward,epsilon,q_0,q_1,q_2,q_3,q_4
1,14,15,-0.17721492052078247,-0.4030996561050415,-1.0369696617126465,-2.133995532989502,0,-3,-1,-17,2,0.0,10.60814779996872,1.0,0.0,0.0,-0.10900729894638062,0.0,0.0
2,15,16,-0.11072428524494171,-0.40609976649284363,-1.6002800464630127,-2.969956159591675,0,-3,-2,-24,2,0.0,11.601432740688324,0.9995,0.0,0.0,-0.10947997570037843,0.0,0.0
3,16,17,-0.15183578431606293,-0.41414666175842285,-0.910656750202179,-2.0398201942443848,0,-3,-1,-16,2,0.0,12.406097829341888,0.9990002500000001,0.044222676753997804,0.044261837005615236,0.007078903824090967,0.0,0.0
4,16,17,0.2822827398777008,0.41195398569107056,1.7251302003860474,3.118945598602295,0,3,2,25,4,5.0,12.8666170835495,0.9985007498750001,0.0,0.0,0.0,0.0,-0.1099218249320984
5,17,18,0.01277210284024477,0.40901482105255127,0.9014632105827332,2.052419662475586,0,3,1,16,4,5.0,13.327454149723053,0.9980014995000627,0.04369132518768311,0.0,0.17364850959181788,0.08959422910213471,-0.10934829711914062
6,17,18,-0.09934449940919876,-0.41427507996559143,-0.7036116123199463,-1.7621502876281738,0,-3,-1,-14,3,2.5,13.395564138889313,0.9975024987503127,0.0,0.08632209300994874,0.0,-0.06968785554170609,0.0
7,17,18,0.2987605035305023,0.40600377321243286,0.6577061414718628,1.671925663948059,0,3,1,13,4,5.0,13.521181344985962,0.9970037475009376,0.04415223300457001,0.0,0.0,0.0,-0.10906267166137695
8,18,19,0.023436088114976883,0.4082341194152832,0.35695701837539673,1.3607910871505737,0,3,0,11,1,-2.5,14.019063591957092,0.9965052456271871,0.0,-0.10885666608810425,0.0,0.0,0.04554843932390213
9,18,19,0.04043002054095268,0.4060017764568329,0.5625550150871277,1.6090227365493774,0,3,1,13,1,-2.5,14.227592647075653,0.9960069930043736,0.04415223300457001,-0.10886174440383911,0.0,0.0,-0.10906267166137695
10,18,19,-0.17886224389076233,-0.39875948429107666,-1.1716012954711914,-2.4188787937164307,0,-3,-1,-19,0,-5.0,14.523824691772461,0.9955089895078715,-0.10905834436416627,0.04157618880271912,0.0,0.0,0.0
11,18,19,-0.0567224957048893,0.4091853201389313,0.7994765043258667,1.9237087965011597,0,3,1,15,0,-5.0,14.415978133678436,0.9950112350131176,-0.027426295876503,0.0431781679391861,0.0,0.042300558090209966,0.04380098879337311
12,18,19,0.2251122146844864,0.40625709295272827,1.0182816982269287,2.227041244506836,0,3,1,18,4,5.0,14.372538268566132,0.9945137293956111,0.08170164465904237,0.04294025301933289,0.04251618683338165,0.0,-0.07218322664499284
13,18,19,0.012820134870707989,-0.4104584753513336,-1.2552024126052856,-2.5624144077301025,0,-3,-1,-20,3,2.5,14.430393099784851,0.9940164725309134,0.0,0.0,0.0,-0.0660243660211563,0.0
14,18,19,-0.3457425534725189,-0.4137062132358551,-2.2533116340637207,-3.916623592376709,0,-3,-2,-31,1,-2.5,14.810091495513916,0.993519464294648,0.0,-0.11028053760528565,0.0,0.0,0.0
15,18,19,0.039956387132406235,0.4185105562210083,1.3474483489990234,2.6543307304382324,0,3,1,21,0,-5.0,14.555456101894379,0.9930227045625007,-0.10977360010147096,0.0,0.0,0.0,0.0
16,19,20,0.09389351308345795,0.414016991853714,0.9745802283287048,2.1349549293518066,0,3,1,17,1,-2.5,15.58885282278061,0.9925261932102195,0.0,-0.10941931009292603,0.04142949879169464,0.0,0.0
17,20,21,0.26333925127983093,0.396779328584671,1.1554744243621826,2.3818581104278564,0,3,1,19,4,5.0,16.73386937379837,0.9920299301136144,0.0,0.04298297762870789,0.0421283096075058,0.0,-0.10895912647247315
18,20,21,-0.21680881083011627,-0.40264585614204407,-1.1484251022338867,-2.514754295349121,0,-3,-1,-20,3,2.5,16.156584322452545,0.9915339151485576,0.0,0.0,0.0,-0.17945320278406143,0.0
19,21,22,0.3598097860813141,0.3956570029258728,0.9173656702041626,2.079740047454834,0,3,1,17,4,5.0,17.570187509059906,0.9910381481909833,0.0,-0.10941931009292603,0.08360227346420288,0.0,-0.10879101753234864
20,21,22,0.00691865524277091,-0.407941073179245,-0.4432404339313507,-1.5560790300369263,0,-3,0,-12,4,5.0,17.011155605316162,0.990542629116888,0.0,0.0,0.0,0.0,-0.10886572599411011
